tweet_id,text,label,candidate
1239352724770209793,i like flabbergasted bernie lol #democraticdebate,NONE,
1302692552236175360,@USER @USER trump signs &amp; flags everywhere.  it’s a beautiful thing #maga 🇺🇸❤️,FAVOR,
1288589398473347073,"@USER how to tell what's true/false... if it's a democrat it's a lie...if it's a republican it is probably true if you can weed through the ""we need to investigate...""stuff. if it's trump it's closer to truth than any msm or politician if you wait 5 mins(he is almost always right)#maga",FAVOR,
1289258828953817088,"@USER @USER if we can't get the race war between whites and blacks, let's try dividing the latinos and the blacks and see if that works...more hate!  trump says everybody hate each other! 😠#trumphatesamerica #biden2020",AGAINST,
1217277846932131840,i won’t vote for ew or bernie in primary but will vote for either in the primary.  but ew looks bad here.  #demdebate,NONE,Trump
1296277930188902400,"i miss having a president that speaks eloquently. that has empathy and hope for a better tomorrow. fortunately, we will soon  have that again with #bidenharris2020. 

#demconvention",FAVOR,Trump
1294377689348898816,"bingo, looks like the “spitter’s” son. ☎️ he was on such a mission, that he didn’t even realize he revealed the #trump2020 sign. HTTP",NONE,
1311040784955658240,@USER @USER @USER @USER actually trump paid 1 million in taxes.  he had a credit from previous year's losses that he would have otherwise received back which he used to pay - it was still his money.  you didn't read the article (probably because it didn't have big print and pictures).,NONE,Trump
1297211509462851586,#healthcareworkers #medicalstaff #doctor #physician #frontlineworkers #scientists @USER @USER @USER don’t give a crap about you and he and the party don’t trust any of you #votebidenharris2020 #voteblue #votersuppression,FAVOR,Trump
1296257163258662913,"florida’s economy can’t afford another 4 years of trump’s broken promises to florida’s workers and families.🙅‍♀️
we’re ready for a real leader like @USER. will you join us in the fight to bring home florida? HTTP",AGAINST,
1247580494922907648,@USER thank you for your leadership during these unprecedented times. your efforts have been welcomed.  #votebluetosaveamerica,NONE,Trump
1297611132790685697,"#joebiden has not fixed one thing in 50 years. politicians walk away millionaires on a senate salary. they work 4 themselves not the people. 
#trump in 4 years has done more 4 americans ever and donates his salary to charities.
stop the same ol same ol crap from #dems
#votered",FAVOR,
1297826232407556096,"@USER best president ever!
#trump2020",AGAINST,Trump
1296948793477230592,i’ve been accused of being a terrorist and this pic was used as the evidence #qanon HTTP,NONE,Trump
1296007859382161410,"🇺🇸☕️☕️good morning patriots ☕️☕️🇺🇸
well we are halfway thru the dimwit convention blooper reel.
can't wait for the republican convention
with all the bs #corruptdemocrats have put @USER thru and the unwarranted attack on his accomplishments.
his motto
#trump2020 HTTP",FAVOR,
1295892961939644418,"hello future ag, sally yates. 

#demconvention2020 #demconvention #democraticconvention #democraticnationalconvention",NONE,Trump
1284106629160607745,@USER focus on #gotv efforts. join the biden campaign or a local one and volunteer. so many remote opportunities you can do from your own home. make sure your circle of people is registered and make a plan then encourage others to do the same in their circles. #votebluetosaveamerica,FAVOR,Trump
1292788966085799939,@USER @USER @USER @USER it does need to be a black woman. watch what will happen if it’s not. don’t take the black woman vote for granted. a wrong pick could derail #biden2020 candidacy and the #democratic party for elections to come. you can pin this tweet.,NONE,Trump
1299315536480923650,"how donald trump bankrupted his atlantic city casinos, but still earned millions -  HTTP

the loser bankrupted a casino and now he's morally bankrupting america.  #bidenharrislandslide2020 #biden2020tosaveamerica #bidenharris2020 #trump2020",AGAINST,
1310964026881474561,@USER make sure that sleepy joe biden has drugs test  .that cnnn and nytimess fake news  get some draper  to its pervert  and corrupt candidate joe biden.   joe biden  china puppet    imagine  a  candidate  with  a  humans trafficking son hunter biden,FAVOR,
1300037201359785984,"#trump2020 #maga
stay the fuck away from the riots. lefty terrorists will kill you, the media will justify and scapegoat you for 'escalating', and twitter will dance on your grave. 
practice self-defense but do not willingly go to these places.",AGAINST,Trump
1295903625668165632,"@USER i love this! love seeing the actual states as they cast their votes.
 and, yes, i'm, undoubtedly going to get a little emotional when delaware comes back to put #joebiden over the top.",FAVOR,Trump
1299187818896515072,@USER 🇺🇸❤️💙🇺🇸 we love it cause we love our country and our president #trump2020,FAVOR,
