,state,average_avg_stance,average_forced_stance,user_count,weighted_avg_forced_stance
0,Alabama,-0.10938756542541028,-0.2670807453416149,161,-0.033937049410937344
1,Alaska,-0.02522268999644565,-0.1346153846153846,52,0.17553377668883446
2,Arizona,-0.13745727595496315,-0.2289988492520138,869,-0.046299421801670626
3,Arkansas,-0.06097994753456939,-0.25396825396825395,63,-0.10559854346836597
4,California,-0.1828920030110224,-0.2822862655251417,8293,-0.1228807829531103
5,Colorado,-0.14090633060557214,-0.22091310751104565,679,-0.10156634814304029
6,Connecticut,-0.1002100072149184,-0.08641975308641975,81,-0.061028464331732514
7,Delaware,-0.3030002154708037,-0.72,25,-0.34326579261025025
8,District of Columbia,-0.15910562210789939,-0.2828035859820701,2454,-0.13743216682458528
9,Florida,-0.1506013164649505,-0.23427495291902073,2655,-0.10803570464095542
10,Georgia,-0.2001121677135281,-0.30990864371047083,1423,-0.19040773921041
11,Hawaii,-0.19843292164499068,-0.26495726495726496,117,-0.12658850537017313
12,Idaho,-0.16145709559740962,-0.09523809523809523,84,-0.09618441971383156
13,Illinois,-0.19150802888308668,-0.28530534351145037,2096,-0.14170298664953915
14,Indiana,-0.1327370122236225,-0.23333333333333334,300,-0.07569418029669081
15,Iowa,-0.25272380291464264,-0.4122137404580153,131,-0.22915890635476427
16,Kansas,-0.11899262136331101,-0.23076923076923078,104,-0.04808743169398916
17,Kentucky,-0.1520547532377315,-0.21212121212121213,231,-0.05506580835622638
18,Louisiana,-0.14959261083940117,-0.2781065088757396,338,-0.07742316784869983
19,Maine,-0.4076923076923077,-0.4,10,-0.6226611226611227
20,Maryland,-0.19048931024002203,-0.342042755344418,421,-0.08968467754714009
21,Massachusetts,-0.18285554565527765,-0.3076923076923077,1066,-0.13496468213925344
22,Michigan,-0.15072194505446743,-0.21140939597315436,596,-0.07102788844621526
23,Minnesota,-0.1921393645831765,-0.29110512129380056,371,-0.1700398530905682
24,Mississippi,-0.08289800182839233,-0.2631578947368421,38,-0.17141403865717192
25,Missouri,-0.17285061755502532,-0.25405405405405407,555,-0.0898182005459135
26,Montana,-0.2675,-0.42857142857142855,28,-0.29064039408866993
27,Nebraska,-0.13280998596419158,-0.19626168224299065,107,0.062819956616052
28,Nevada,-0.13925978583105997,-0.23950617283950618,810,-0.07863031071655066
29,New Hampshire,-0.05119047619047619,-0.17857142857142858,28,0.1896887159533074
30,New Jersey,-0.19315938583924303,-0.3039647577092511,227,-0.14338375492563885
31,New Mexico,-0.2242180361917204,-0.2972972972972973,148,-0.1354909845634973
32,New York,-0.1808760529548866,-0.2875902823374918,7615,-0.13796075353416334
33,North Carolina,-0.16390096103688293,-0.22008862629246675,677,-0.041897763310468336
34,North Dakota,-0.29186602870813394,-0.10526315789473684,19,-0.18154003059663437
35,Ohio,-0.16793588047908792,-0.2214199759326113,831,-0.09461119081779078
36,Oklahoma,-0.17884556461018677,-0.22727272727272727,176,-0.17345929913215435
37,Oregon,-0.18811022355166546,-0.2508361204013378,598,-0.16312731967080857
38,Pennsylvania,-0.15933607667253807,-0.2519736842105263,1520,-0.11570435308343435
39,Rhode Island,-0.16158719448193132,-0.3684210526315789,57,-0.08582401068625814
40,South Carolina,-0.1477301875345782,-0.22966507177033493,209,-0.045707562112504166
41,South Dakota,-0.16666666666666666,0.0,2,-1.0
42,Tennessee,-0.13319503284407688,-0.203778677462888,741,-0.13267434479006096
43,Texas,-0.16162840633176548,-0.2528798683488755,3646,-0.10257317111509347
44,Utah,-0.27769600769600766,-0.32432432432432434,185,-0.255916141669755
45,Vermont,-0.1174126221001221,-0.3125,32,-0.03780271707028942
46,Virginia,-0.169609125196434,-0.2937062937062937,286,-0.09685811486892139
47,Washington,-0.21998455575999784,-0.34291377601585726,1009,-0.16616426951454105
48,West Virginia,-0.255072463768116,-0.34782608695652173,23,-0.07826086956521738
49,Wisconsin,-0.0942130891117146,-0.17869415807560138,291,-0.03664989449764656
50,Wyoming,0.014905149051490528,0.3333333333333333,9,0.2784935579781962
